benchmark,benchmark_label,seed,estimator,iteration,tau,w2_sq_proxy,protocol
seven_lobes,Seven lobes,31,PMM2/PMM3,2,0.95,0.004708068752672804,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,3,0.95,0.0037371906587840235,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,4,0.95,0.003888404377328929,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,5,0.95,0.003892012321636369,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,6,0.95,0.0028513333668408374,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,7,0.95,0.0029088319116907847,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,8,0.95,0.002794936734413893,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,0,0.95,0.0034278575683068147,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,1,0.95,0.005355770086254482,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,2,0.95,0.004986673688666438,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,3,0.95,0.005230493113394977,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,4,0.95,0.006626454211638679,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,5,0.95,0.005672603960702995,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,6,0.95,0.008563591638588497,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,7,0.95,0.0055350025579334605,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,8,0.95,0.011162743168242839,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,0,0.95,0.0034278575683068147,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,1,0.95,0.003914185095852848,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,2,0.95,0.0034960959707133203,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,3,0.95,0.003392990383231369,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,4,0.95,0.0035412015883324694,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,5,0.95,0.003898836459153881,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,6,0.95,0.006002989934918462,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,7,0.95,0.004465978711956697,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,k_Ensemble,8,0.95,0.010192371972464103,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,0,0.95,0.0034278575683068147,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,1,0.95,0.005355770086254482,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,2,0.95,0.004986673688666438,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,3,0.95,0.005230493113394977,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,4,0.95,0.006626454211638679,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,5,0.95,0.005672603960702995,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,6,0.95,0.008563591638588497,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,7,0.95,0.0055350025579334605,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,MLE_Exp,8,0.95,0.011162743168242839,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,0,0.95,0.0034278575683068147,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,1,0.95,0.0030289943758879025,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,2,0.95,0.0027194774007007444,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,3,0.95,0.002472404536023568,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,4,0.95,0.0025055716576244456,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,5,0.95,0.0024971629079939537,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,6,0.95,0.0025763054241909854,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,7,0.95,0.0024449348752240015,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,43,PMM2/PMM3,8,0.95,0.002388479692633249,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,0,0.9,0.18153424560167045,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,1,0.9,0.11634097258408492,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,2,0.9,0.06403695095186683,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,3,0.9,0.048630869171054976,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,4,0.9,0.044532542062600544,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,5,0.9,0.042936427310396534,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,6,0.9,0.04540203515508378,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,7,0.9,0.04347158732158861,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,Plugin_Estimator,8,0.9,0.04184033077526923,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,k_Ensemble,0,0.9,0.18153424560167045,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,k_Ensemble,1,0.9,0.11608307363637896,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,k_Ensemble,2,0.9,0.063348062215465,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,k_Ensemble,3,0.9,0.04449218161153191,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,k_Ensemble,4,0.9,0.03879150832507475,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,k_Ensemble,5,0.9,0.03747903557155925,iterated_resampling_with_matched_refresh_proxy
