law,seed,n_panels,k,estimator,gamma3,gamma4,gamma6,g3,kappa,mean_bias,mean_variance,mean_mse,density_bias,density_variance,density_mse,convergence_rate,guard_accept_rate,mean_iterations
triangular_0_2,17,6000,8,mean_mle,0.01344256645101907,-0.5908151946841933,1.6429494862094671,0.8499051070890992,-0.156664230359804,6.220949681316294e-17,0.020867042747991543,0.020863564907533542,0.02247423737708789,0.025393597615650545,0.025894456695062955,1.0,1.0,0.0
triangular_0_2,17,6000,8,pmm3_location_raw,0.01344256645101907,-0.5908151946841933,1.6429494862094671,0.8499051070890992,-0.156664230359804,6.220949681316294e-17,0.020867042747991543,0.020863564907533542,0.02247423737708789,0.025393597615650545,0.025894456695062955,1.0,1.0,0.0
triangular_0_2,17,6000,8,pmm3_location_guarded,0.01344256645101907,-0.5908151946841933,1.6429494862094671,0.8499051070890992,-0.156664230359804,6.220949681316294e-17,0.020867042747991543,0.020863564907533542,0.02247423737708789,0.025393597615650545,0.025894456695062955,1.0,1.0,0.0
triangular_0_2,23,6000,8,mean_mle,0.013712704274371,-0.6114627393713961,1.8213486799547418,0.8387157026755729,-0.13204156463915623,7.364479396680205e-17,0.02087826922420085,0.020874789512663482,0.02228948379699049,0.024939168714861706,0.025431833274678864,1.0,1.0,0.0
triangular_0_2,23,6000,8,pmm3_location_raw,0.013712704274371,-0.6114627393713961,1.8213486799547418,0.8387157026755729,-0.13204156463915623,7.364479396680205e-17,0.02087826922420085,0.020874789512663482,0.02228948379699049,0.024939168714861706,0.025431833274678864,1.0,1.0,0.0
triangular_0_2,23,6000,8,pmm3_location_guarded,0.013712704274371,-0.6114627393713961,1.8213486799547418,0.8387157026755729,-0.13204156463915623,7.364479396680205e-17,0.02087826922420085,0.020874789512663482,0.02228948379699049,0.024939168714861706,0.025431833274678864,1.0,1.0,0.0
triangular_0_2,31,6000,8,mean_mle,0.0003291826395500241,-0.569889420222017,1.4784260572218741,0.8617642758640378,-0.1844398306314287,8.822572302354577e-17,0.021080665614261876,0.021077152169992834,0.022441458434598896,0.0250043512160687,0.025503802880871188,1.0,1.0,0.0
triangular_0_2,31,6000,8,pmm3_location_raw,0.0003291826395500241,-0.569889420222017,1.4784260572218741,0.8617642758640378,-0.1844398306314287,8.822572302354577e-17,0.021080665614261876,0.021077152169992834,0.022441458434598896,0.0250043512160687,0.025503802880871188,1.0,1.0,0.0
triangular_0_2,31,6000,8,pmm3_location_guarded,0.0003291826395500241,-0.569889420222017,1.4784260572218741,0.8617642758640378,-0.1844398306314287,8.822572302354577e-17,0.021080665614261876,0.021077152169992834,0.022441458434598896,0.0250043512160687,0.025503802880871188,1.0,1.0,0.0
triangular_0_2,43,6000,8,mean_mle,0.0016283308502011544,-0.5918918201476515,1.6492568420979552,0.8491381744076885,-0.15446432499224017,-1.8355687340469255e-17,0.020938898749603616,0.020935408933145355,0.022401335574431507,0.025156052175721644,0.025653679335877314,1.0,1.0,0.0
triangular_0_2,43,6000,8,pmm3_location_raw,0.0016283308502011544,-0.5918918201476515,1.6492568420979552,0.8491381744076885,-0.15446432499224017,-1.8355687340469255e-17,0.020938898749603616,0.020935408933145355,0.022401335574431507,0.025156052175721644,0.025653679335877314,1.0,1.0,0.0
triangular_0_2,43,6000,8,pmm3_location_guarded,0.0016283308502011544,-0.5918918201476515,1.6492568420979552,0.8491381744076885,-0.15446432499224017,-1.8355687340469255e-17,0.020938898749603616,0.020935408933145355,0.022401335574431507,0.025156052175721644,0.025653679335877314,1.0,1.0,0.0
triangular_0_2,11,6000,16,mean_mle,-0.0011253600392140118,-0.605221592330583,1.7551231495514585,0.8413029754339632,-0.1357627758823322,1.8577731945394286e-16,0.010543469505825659,0.01054171226090802,0.010919044053034151,0.011567481140942507,0.011684778750451118,1.0,1.0,0.0
