benchmark,benchmark_label,seed,estimator,n_particles,k,tau,w2_sq_proxy,kl_pairwise,max_slack,component_loss,missing_fraction,wallclock_sec,selector_branch,c3,c4,protocol
seven_lobes,Seven lobes,11,MLE_Exp,220,12,0.75,0.005913068429684223,0.1269406134582411,0.0,0,0.0,0.0029701670282520354,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,PMM2/MLE,220,12,0.75,0.004957256296766224,0.02740923697793468,0.0,0,0.0,0.0029727499932050705,PMM2,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,220,12,0.75,0.0054568203591397165,0.09576279349154389,0.0,0,0.0,0.0029232920496724546,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,k_Ensemble,220,12,0.75,0.004377745292644174,0.022115592289979898,0.0,0,0.0,0.002922083018347621,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,MLE_Exp,220,12,0.75,0.0054568203591397165,0.09576279349154389,0.0,0,0.0,0.0030137079884298146,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,PMM2/MLE,220,12,0.75,0.00403685173644076,0.03544176678665854,0.0,0,0.0,0.0031286670127883554,PMM2,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,220,12,0.75,0.0043816171485145045,0.04906676199793478,0.0,0,0.0,0.00287762499647215,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,k_Ensemble,220,12,0.75,0.004099278537749344,0.019221181740175546,0.0,0,0.0,0.0028563340310938656,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,MLE_Exp,220,12,0.75,0.0043816171485145045,0.04906676199793478,0.0,0,0.0,0.0027767500141635537,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,PMM2/MLE,220,12,0.75,0.0036291263230182704,0.01467113360754579,0.0,0,0.0,0.0031892500119283795,PMM2,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,220,12,0.75,0.006465591416525274,0.0995516296345923,0.0,0,0.0,0.0028132920269854367,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,k_Ensemble,220,12,0.75,0.005785614525285777,0.021378387797046906,0.0,0,0.0,0.0028710829792544246,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,MLE_Exp,220,12,0.75,0.006465591416525274,0.0995516296345923,0.0,0,0.0,0.0026579159894026816,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,PMM2/MLE,220,12,0.75,0.00544680059678519,0.011570161327279227,0.0,0,0.0,0.002993959002196789,PMM2,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,220,12,0.75,0.0049270287604439465,0.055815023943651905,0.0,0,0.0,0.0029516660142689943,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
